ds,yhat,yhat_lower,yhat_upper
2023-12-05,6217.149627539191,4082.7145165882303,8307.542757956133
2023-12-06,4560.469502745541,2553.9844024901827,6788.704317635273
2023-12-07,4094.999495989262,1928.8562807059163,6479.843965506236
2023-12-08,3881.397913471038,1716.4078966120853,6131.476478987899
2023-12-09,6303.054307440439,4223.035430636169,8588.602312537998
2023-12-10,4742.191785323794,2542.3422545900903,6754.198220169935
2023-12-11,6342.291564642573,4192.595362233786,8405.33769776294
2023-12-12,5438.941653701484,3282.7634743845674,7523.897886749544
2023-12-13,4154.856490288257,2090.0985818337354,6374.0099991429
2023-12-14,5585.660970025376,3285.684608439885,7645.656952977596
2023-12-15,12601.211252902893,10588.062636956278,14774.560518723918
2023-12-16,6903.575228507046,4634.574016218721,9050.835364517654
2023-12-17,4328.085901076542,2113.409573406241,6607.944675146375
2023-12-18,4200.26608975414,1960.7720150633825,6290.417880501325
2023-12-19,4210.553058929685,2166.852154228626,6355.750533522653
2023-12-20,3781.612126945733,1686.126368464255,5974.4581064244285
2023-12-21,4757.332515657946,2673.9935701623735,6818.387455356127
2023-12-22,5122.720709547733,2990.280710632923,7168.8230348029065
2023-12-23,4639.238463766221,2286.482618026581,6790.23504510446
2023-12-24,4616.5352245605,2463.960074116749,6795.027132451771
2023-12-25,4202.61233019965,2051.9706357361947,6364.253484348222
2023-12-26,4043.316145040069,1908.0113977762912,6219.0809876861085
2023-12-27,3949.717082048552,1723.9971037863127,6068.103324766407
2023-12-28,5319.581044510687,3256.9060481230126,7464.2318761933675
2023-12-29,4278.1692169370435,2040.3721576288094,6477.768315260906
2023-12-30,4429.747033444889,2340.6812495986674,6597.6554302389995
2023-12-31,4678.489937233073,2485.6376964541923,6939.991666798039
2024-01-01,4490.375247123395,2371.9865556534933,6532.918077147036
2024-01-02,4151.405747047569,1767.7812802479104,6378.206212864743
2024-01-03,4748.300867237089,2672.334409965838,6826.315934619819
2024-01-04,4851.41047794982,2667.7433069183576,7114.889494197186
2024-01-05,7628.646630977277,5547.0290522101195,9757.584043400864
2024-01-06,4515.318788030234,2520.026833259001,6667.765372839766
2024-01-07,4917.3997666351215,2651.5035662595697,7063.553005121781
2024-01-08,4726.685422864041,2808.209674868691,6866.134074425559
2024-01-09,5682.832025085397,3633.229810708061,7824.026665473539
2024-01-10,3738.81759045038,1617.5608387388927,5779.762055629429
2024-01-11,3634.380256019041,1496.0638343522712,5867.512801200615
2024-01-12,4276.042822477961,2278.6202943572807,6388.052724465295
2024-01-13,7145.7998852075525,5025.582202414984,9360.589335662826
2024-01-14,6586.649669666937,4466.290354057071,8869.560043480245
2024-01-15,6767.1983143315,4761.592551389688,8987.440583743544
2024-01-16,3422.928694455133,1281.629450174094,5617.841632412759
2024-01-17,4351.002717268634,1960.755457585932,6482.959257606048
2024-01-18,4832.175098563909,2615.2096032893446,6974.608520186744
2024-01-19,5297.726214974813,3198.4670824937457,7400.285209263682
2024-01-20,4144.547783661342,2075.10703268684,6308.836526731678
2024-01-21,4171.627251930426,2059.6059958124197,6258.884673393437
2024-01-22,4160.133091592513,1925.738065000693,6162.209515168457
2024-01-23,3975.1301005419564,1796.5399773170247,6015.158526270617
2024-01-24,5662.918119166913,3533.9911755876096,7643.83788645704
2024-01-25,3812.069367339047,1599.1122628667868,5906.408814646976
2024-01-26,6023.8561957026695,3901.46470705293,8219.004587715524
2024-01-27,6279.728356836669,4038.4520866113176,8326.833361394245
2024-01-28,3915.44977636461,1857.9088175906027,5938.877924888149
2024-01-29,4218.908611281509,2028.1167290664594,6480.124971588136
2024-01-30,3561.733335752778,1466.5133864778784,5833.244419363255
2024-01-31,4090.8556490486203,1971.6779735398566,6286.55792092806
2024-02-01,4957.607568077986,2824.25921296073,7044.465085120414
2024-02-02,5245.469664388562,2952.903326375912,7503.705295516664
2024-02-03,4546.686321073728,2308.631339268936,6632.414453907488
2024-02-04,3488.97372180967,1339.502864445773,5803.928859578254
2024-02-05,6127.943906344796,3960.2456264703173,8141.261064945829
2024-02-06,5086.934142069019,2930.6726305637644,7346.517972968461
2024-02-07,6741.278073359925,4638.7872865025465,8847.575568301658
2024-02-08,4049.9403753460047,1888.2394070777127,6130.013917899891
2024-02-09,3021.1899122606665,880.6764528596673,5139.129314393865
2024-02-10,3357.0547490606655,1375.3675044272045,5582.878412354035
2024-02-11,5016.926234032143,2860.4451680129982,7201.041916841712
2024-02-12,3765.9041509685685,1439.5539256215689,5872.017030914232
2024-02-13,3971.3995850612273,1804.411984909114,6194.044679672299
2024-02-14,3592.499508343223,1436.4061076424011,5687.09378566679
2024-02-15,3758.596953902931,1783.747992712584,5771.850856359648
2024-02-16,4017.4823485325624,1885.9874831851034,6185.473640184042
2024-02-17,5407.672076181208,3368.150146091556,7547.118501256198
2024-02-18,3376.0329465150553,1284.2832547951384,5564.742476208525
2024-02-19,3742.7791157293404,1721.613858788778,5869.351128238034
2024-02-20,3661.7356489980793,1475.6473069513033,5796.283419540961
2024-02-21,5039.775371800691,2784.3643428770674,7196.51281631278
2024-02-22,7349.593599886677,5342.567039615768,9505.693450599501
2024-02-23,3572.4637318764044,1262.8535044037521,5610.029603503413
2024-02-24,3347.372216902963,1346.7042397310183,5571.990015367458
2024-02-25,3388.0579150049743,1229.1859880999566,5444.656844924827
2024-02-26,3249.557011622091,1210.3049842902922,5418.130874029301
2024-02-27,3880.840468816965,1674.0215621009424,5876.175934530371
2024-02-28,5764.045414106395,3515.945085255726,7858.091770807146
2024-02-29,3455.198432186218,1043.8932121742034,5523.136613685957
2024-03-01,4129.033338962371,2104.735634006043,6395.284380522176
2024-03-02,4988.03690541644,2845.7046559923406,7232.7240511178825
2024-03-03,3515.250455698093,1375.590490635511,5638.806451225242
2024-03-04,3607.6693208647253,1305.0305445307254,5726.81062152322
2024-03-05,3922.9801858709757,1692.256339117412,6018.143300477819
2024-03-06,4330.981279184698,2090.3565164834804,6437.511225335427
2024-03-07,3553.473414874427,1412.2961869052087,5632.435485184805
