timestamp,station,rh,sup,ta,ws10m,wd10m,wd10m_std,ws5m,pp,pa,wind_gust_5m,wind_gust_10m,patm
2020-01-11 19:00:00,PFA,77.04,414.7,15.98,2.389,227.2,16.41,2.051,0.0,376.0,0.0,0.0,
2020-01-11 20:00:00,PFA,76.09,280.3,16.42,0.964,250.2,34.21,1.426,0.0,375.9,0.0,0.0,
2020-01-11 21:00:00,PFA,91.2,144.7,14.62,0.369,239.4,10.64,0.745,0.0,375.8,0.0,0.0,
2020-01-11 22:00:00,PFA,89.7,174.6,15.21,0.255,196.3,16.29,1.102,0.0,375.8,0.357,0.0,
2020-01-11 23:00:00,PFA,85.7,101.9,15.92,1.876,216.8,14.12,1.39,0.0,375.8,0.288,1.621,
2020-01-12 00:00:00,PFA,82.5,28.2,15.63,0.372,348.3,26.4,0.908,0.0,375.8,0.0,0.0,
2020-01-12 01:00:00,PFA,92.2,0.0,14.06,1.439,308.4,12.72,1.558,0.0,375.7,0.65,1.067,
2020-01-12 02:00:00,PFA,97.0,0.0,13.46,1.123,327.7,14.87,1.452,0.0,375.7,0.0,0.0,
2020-01-12 03:00:00,PFA,95.5,0.0,13.35,0.98,311.8,10.53,1.197,0.0,375.7,0.0,0.0,
2020-01-12 04:00:00,PFA,97.0,0.0,12.88,0.334,319.7,10.96,0.924,0.0,375.7,0.0,0.0,
2020-01-12 05:00:00,PFA,95.8,0.0,12.71,0.732,272.7,28.82,1.314,0.0,375.7,0.39,0.398,
2020-01-12 06:00:00,PFA,91.2,0.0,12.55,2.187,332.7,8.68,2.134,0.0,375.7,0.82,1.455,
2020-01-12 07:00:00,PFA,90.7,0.0,11.7,2.452,351.0,12.08,2.367,0.0,375.6,0.233,0.265,
2020-01-12 08:00:00,PFA,90.1,0.0,11.2,3.318,332.5,11.38,3.255,0.0,375.6,0.888,0.866,
2020-01-12 09:00:00,PFA,92.5,0.0,10.51,3.365,334.1,9.32,2.964,0.0,375.6,0.0,0.047,
2020-01-12 10:00:00,PFA,87.7,15.23,10.94,4.198,348.5,12.19,3.963,0.0,375.6,0.999,0.833,
2020-01-12 11:00:00,PFA,85.7,78.94,11.43,1.899,347.2,15.65,2.01,0.0,375.7,0.0,0.0,
2020-01-12 12:00:00,PFA,91.5,65.75,11.66,0.0,0.0,0.0,0.728,0.0,375.6,0.0,0.0,
2020-01-12 13:00:00,PFA,75.45,565.1,15.43,0.449,123.6,8.04,1.157,0.0,375.9,0.429,0.449,
2020-01-12 14:00:00,PFA,77.59,735.8,15.4,0.205,131.8,3.941,1.113,0.0,376.0,0.0,0.0,
2020-01-12 15:00:00,PFA,77.12,839.0,15.71,0.249,150.7,10.31,1.076,0.0,376.1,0.0,0.044,
2020-01-12 16:00:00,PFA,67.94,962.0,16.76,0.794,119.7,26.61,1.638,0.0,376.1,0.562,0.545,
2020-01-12 17:00:00,PFA,67.87,995.0,17.4,1.464,119.8,13.83,2.056,0.0,376.0,0.418,0.67,
2020-01-12 18:00:00,PFA,58.85,951.0,19.79,2.478,221.2,51.31,2.128,0.0,376.3,0.072,1.014,
2020-01-12 19:00:00,PFA,58.01,864.0,20.01,5.644,232.2,16.84,4.301,0.0,376.2,2.173,3.166,
2020-01-12 20:00:00,PFA,54.22,728.1,20.86,6.856,226.9,6.706,4.415,0.0,376.3,0.114,1.212,
2020-01-12 21:00:00,PFA,48.55,551.8,21.69,5.014,234.4,16.19,3.614,0.0,376.3,0.0,0.0,
2020-01-12 22:00:00,PFA,44.69,360.2,22.79,2.085,249.9,25.11,2.009,0.0,376.3,0.0,0.0,
2020-01-12 23:00:00,PFA,47.87,190.3,22.12,1.693,229.6,22.53,1.767,0.0,376.2,0.0,0.0,
2020-01-13 00:00:00,PFA,76.45,32.06,17.27,3.029,318.7,14.87,2.317,0.0,375.9,0.55,1.336,
2020-01-13 01:00:00,PFA,73.34,0.0,17.16,4.027,338.5,12.52,3.545,0.0,375.8,1.228,0.998,
2020-01-13 02:00:00,PFA,77.08,0.0,15.79,3.369,338.9,18.25,3.187,0.0,375.8,0.0,0.0,
2020-01-13 03:00:00,PFA,76.99,0.0,15.36,3.214,346.5,11.28,2.972,0.0,375.7,0.0,0.0,
2020-01-13 04:00:00,PFA,84.2,0.0,14.19,1.692,335.0,14.18,1.618,0.0,375.7,0.0,0.0,
2020-01-13 05:00:00,PFA,85.9,0.0,13.67,2.635,340.1,14.66,2.245,0.0,375.7,0.627,0.943,
2020-01-13 06:00:00,PFA,95.6,0.0,11.75,1.624,322.0,5.669,1.477,0.0,375.6,0.0,0.0,
2020-01-13 07:00:00,PFA,96.0,0.0,11.39,0.704,322.7,15.29,0.75,0.0,375.6,0.0,0.0,
2020-01-13 08:00:00,PFA,98.2,0.0,10.58,1.384,330.2,6.572,1.562,0.0,375.6,0.812,0.68,
2020-01-13 09:00:00,PFA,91.9,0.0,11.62,3.11,345.3,14.79,3.056,0.0,375.6,1.494,1.726,
2020-01-13 10:00:00,PFA,99.2,14.49,9.94,1.369,330.4,4.252,1.821,0.0,375.6,0.0,0.0,
2020-01-13 11:00:00,PFA,96.9,62.89,10.64,0.854,331.9,13.95,1.54,0.0,375.6,0.0,0.0,
2020-01-13 12:00:00,PFA,94.2,132.9,13.12,4.523,223.2,9.18,3.11,0.0,375.7,1.57,3.669,
2020-01-13 13:00:00,PFA,94.2,239.7,13.26,5.68,223.4,9.11,3.595,0.0,375.7,0.485,1.157,
2020-01-13 14:00:00,PFA,89.3,711.8,14.11,6.151,235.4,12.32,4.818,0.0,375.8,1.223,0.471,
2020-01-13 15:00:00,PFA,89.7,815.6,14.06,6.106,230.0,16.08,4.757,0.0,375.8,0.0,0.0,
2020-01-13 16:00:00,PFA,87.5,513.4,14.83,6.051,226.9,23.0,4.352,0.0,375.8,0.0,0.0,
2020-01-13 17:00:00,PFA,90.8,202.6,13.95,4.52,211.4,7.981,2.951,0.0,375.8,0.0,0.0,
2020-01-13 18:00:00,PFA,82.5,664.7,15.57,2.071,233.5,22.82,1.959,0.0,375.9,0.0,0.0,
2020-01-13 19:00:00,PFA,79.19,895.0,16.37,5.509,210.5,10.43,3.467,0.0,376.1,1.508,3.438,
2020-01-13 20:00:00,PFA,71.79,708.4,17.77,4.012,208.1,11.09,2.84,0.0,376.2,0.0,0.0,
2020-01-13 21:00:00,PFA,65.23,303.2,18.21,4.951,196.9,32.87,3.491,0.0,376.0,0.651,0.939,
2020-01-13 22:00:00,PFA,69.21,109.8,17.59,3.322,201.9,14.59,2.919,0.0,375.9,0.0,0.0,
2020-01-13 23:00:00,PFA,73.17,53.75,16.46,4.158,201.8,18.28,3.533,0.0,375.8,0.614,0.836,
2020-01-14 00:00:00,PFA,84.9,0.0,14.98,6.53,222.9,7.959,3.878,0.0,375.8,0.345,2.372,
2020-01-14 01:00:00,PFA,76.72,0.0,15.66,1.288,59.57,72.32,1.831,0.0,375.7,0.0,0.0,
2020-01-14 02:00:00,PFA,86.6,0.0,14.77,0.484,302.2,35.91,1.074,0.0,375.7,0.0,0.0,
2020-01-14 03:00:00,PFA,93.7,0.0,13.82,0.709,196.7,52.47,1.516,0.0,375.7,0.442,0.225,
2020-01-14 04:00:00,PFA,95.4,0.0,13.32,3.676,234.8,21.14,2.682,0.0,375.7,1.166,2.967,
2020-01-14 05:00:00,PFA,95.8,0.0,13.14,4.038,233.4,25.78,2.609,0.0,375.7,0.0,0.362,
2020-01-14 06:00:00,PFA,97.6,0.0,13.19,0.851,273.8,23.78,1.215,0.0,375.7,0.0,0.0,
2020-01-14 07:00:00,PFA,100.0,0.0,12.81,0.63,283.0,6.628,0.779,0.0,375.7,0.0,0.0,
2020-01-14 08:00:00,PFA,87.8,0.0,13.94,2.776,24.06,29.07,2.437,0.0,375.7,1.658,2.146,
2020-01-14 09:00:00,PFA,89.1,0.0,12.09,1.544,271.9,43.25,1.994,0.0,375.7,0.0,0.0,
2020-01-14 10:00:00,PFA,77.11,0.0,12.23,3.105,43.46,29.54,3.508,0.0,375.6,1.514,1.561,
2020-01-14 11:00:00,PFA,68.78,130.2,12.31,3.406,179.4,59.57,3.601,0.0,375.6,0.093,0.301,
2020-01-14 12:00:00,PFA,68.13,181.5,12.0,1.185,121.2,56.75,2.144,0.0,375.7,0.0,0.0,
2020-01-14 13:00:00,PFA,59.0,385.0,13.33,3.661,179.6,36.8,3.514,0.0,375.8,1.37,2.476,
